Model,Fold,xgb__subsample,xgb__n_estimators,xgb__max_depth,xgb__learning_rate,dt__min_samples_split,dt__min_samples_leaf,dt__max_depth,dt__criterion
1. Full Pipeline,1,0.6,50.0,3.0,0.2,,,,
1. Full Pipeline,2,0.6,100.0,3.0,0.05,,,,
1. Full Pipeline,3,0.6,50.0,5.0,0.05,,,,
1. Full Pipeline,4,0.6,200.0,5.0,0.01,,,,
1. Full Pipeline,5,1.0,50.0,3.0,0.2,,,,
2. Ablate SMOTE,1,0.8,50.0,7.0,0.2,,,,
2. Ablate SMOTE,2,0.6,50.0,3.0,0.2,,,,
2. Ablate SMOTE,3,1.0,200.0,7.0,0.1,,,,
2. Ablate SMOTE,4,0.6,200.0,5.0,0.1,,,,
2. Ablate SMOTE,5,1.0,200.0,5.0,0.05,,,,
3. Ablate Feat. Select,1,0.6,50.0,3.0,0.2,,,,
3. Ablate Feat. Select,2,1.0,200.0,7.0,0.01,,,,
3. Ablate Feat. Select,3,0.6,50.0,3.0,0.01,,,,
3. Ablate Feat. Select,4,1.0,200.0,3.0,0.1,,,,
3. Ablate Feat. Select,5,0.8,100.0,3.0,0.05,,,,
4. Ablate XGBoost,1,,,,,5.0,2.0,3.0,entropy
4. Ablate XGBoost,2,,,,,5.0,4.0,7.0,entropy
4. Ablate XGBoost,3,,,,,5.0,2.0,3.0,entropy
4. Ablate XGBoost,4,,,,,2.0,1.0,3.0,gini
4. Ablate XGBoost,5,,,,,5.0,2.0,3.0,entropy
6. RUS Pipeline,1,0.6,100.0,3.0,0.05,,,,
6. RUS Pipeline,2,0.6,100.0,3.0,0.05,,,,
6. RUS Pipeline,3,1.0,50.0,3.0,0.1,,,,
6. RUS Pipeline,4,1.0,50.0,3.0,0.1,,,,
6. RUS Pipeline,5,0.6,50.0,3.0,0.01,,,,
